machine_id,truck_id,time_stamp,action
new,334223591019,0.0,wait
r1_1,334223591019,0.0,start
r1_1,334223591019,4.8,end
new,338196782298,1225.0,wait
r1_1,338196782298,1225.0,start
r1_1,338196782298,1229.8,end
new,338832149040,2658.0,wait
r1_1,338832149040,2658.0,start
r1_1,338832149040,2658.0,end
new,338464721463,4162.0,wait
r1_1,338464721463,4162.0,start
r1_1,338464721463,4195.600000000001,end
new,338752277974,7640.000000000001,wait
r1_1,338752277974,7640.000000000001,start
r1_1,338752277974,7640.000000000001,end
new,336706244297,13542.0,wait
r1_1,336706244297,13542.0,start
r1_1,336706244297,13551.599999999999,end
new,339511303201,17767.0,wait
r1_1,339511303201,17767.0,start
r1_1,339511303201,17910.999999999978,end
new,336741404757,21517.0,wait
r1_1,336741404757,21517.0,start
r1_1,336741404757,21521.8,end
new,338087748646,26734.0,wait
r1_1,338087748646,26734.0,start
r1_1,338087748646,26738.8,end
new,338087748646,27738.0,wait
r1_1,338087748646,27738.0,start
r1_1,338087748646,27742.8,end
new,339216009330,47188.0,wait
r1_1,339216009330,47188.0,start
r1_1,339216009330,47197.600000000006,end
new,334223591073,0.0,wait
r1_2,334223591073,0.0,start
r1_2,334223591073,0.0,end
new,339220994364,254.00000000000003,wait
r1_2,339220994364,300.0,start
r1_2,339220994364,304.8,end
new,338832149040,2556.0,wait
r1_2,338832149040,2556.0,start
r1_2,338832149040,2556.0,end
new,339220757059,3826.0000000000005,wait
r1_2,339220757059,3826.0000000000005,start
r1_2,339220757059,3826.0000000000005,end
new,339166565032,7002.0,wait
r1_2,339166565032,7002.0,start
r1_2,339166565032,7189.200000000007,end
new,334223591125,12500.0,wait
r1_2,334223591125,12500.0,start
r1_2,334223591125,12509.599999999999,end
new,336706244260,16924.0,wait
r1_2,336706244260,16924.0,start
r1_2,336706244260,16928.8,end
new,339521113776,20460.0,wait
r1_2,339521113776,20460.0,start
r1_2,339521113776,20460.0,end
new,338087748646,26419.0,wait
r1_2,338087748646,26419.0,start
r1_2,338087748646,26423.8,end
new,338693137635,27468.0,wait
r1_2,338693137635,27468.0,start
r1_2,338693137635,27472.8,end
new,338707693829,36204.0,wait
r1_2,338707693829,36204.0,start
r1_2,338707693829,36208.8,end
new,334987741734,0.0,wait
r1_3,334987741734,0.0,start
r1_3,334987741734,9.6,end
new,338838422402,1954.0000000000002,wait
r1_3,338838422402,1954.0000000000002,start
r1_3,338838422402,1958.8000000000002,end
new,338021737374,2909.0,wait
r1_3,338021737374,2909.0,start
r1_3,338021737374,2918.6000000000004,end
new,338914338129,5488.0,wait
r1_3,338914338129,5488.0,start
r1_3,338914338129,5488.0,end
new,339909404243,9153.0,wait
r1_3,339909404243,9153.0,start
r1_3,339909404243,9153.0,end
new,339396203149,14832.000000000002,wait
r1_3,339396203149,14832.000000000002,start
r1_3,339396203149,14832.000000000002,end
new,339166565023,19046.0,wait
r1_3,339166565023,19046.0,start
r1_3,339166565023,19050.8,end
new,338896090442,25066.0,wait
r1_3,338896090442,25066.0,start
r1_3,338896090442,25066.0,end
new,338087748646,27059.0,wait
r1_3,338087748646,27059.0,start
r1_3,338087748646,27063.8,end
new,338022222191,31572.000000000004,wait
r1_3,338022222191,31572.000000000004,start
r1_3,338022222191,31572.000000000004,end
new,336325511312,0.0,wait
r1_4,336325511312,0.0,start
r1_4,336325511312,9.6,end
new,339216702214,2045.0000000000002,wait
r1_4,339216702214,2045.0000000000002,start
r1_4,339216702214,2049.8,end
new,339742759336,2983.0,wait
r1_4,339742759336,2983.0,start
r1_4,339742759336,2983.0,end
new,339396202162,5540.0,wait
r1_4,339396202162,5540.0,start
r1_4,339396202162,5544.8,end
new,338006672397,9282.0,wait
r1_4,338006672397,9282.0,start
r1_4,338006672397,9286.8,end
new,338861461171,14879.000000000002,wait
r1_4,338861461171,14879.000000000002,start
r1_4,338861461171,14902.999999999998,end
new,338721293666,19130.0,wait
r1_4,338721293666,19130.0,start
r1_4,338721293666,19144.399999999998,end
new,338721330959,25206.0,wait
r1_4,338721330959,25206.0,start
r1_4,338721330959,25210.8,end
new,338087748646,27061.0,wait
r1_4,338087748646,27061.0,start
r1_4,338087748646,27065.8,end
new,338538315865,32626.000000000004,wait
r1_4,338538315865,32626.000000000004,start
r1_4,338538315865,32664.399999999998,end
new,336626720238,0.0,wait
r2_1,336626720238,0.0,start
r2_1,336626720238,168.00000000000006,end
new,338700988920,2378.0,wait
r2_1,338700988920,2378.0,start
r2_1,338700988920,2387.6000000000004,end
new,336402113414,3416.0,wait
r2_1,336402113414,3416.0,start
r2_1,336402113414,3420.8,end
new,339521113800,6338.0,wait
r2_1,339521113800,6338.0,start
r2_1,339521113800,6338.0,end
new,338748416737,10162.0,wait
r2_1,338748416737,10162.0,start
r2_1,338748416737,11131.599999999853,end
new,336985207799,16258.000000000002,wait
r2_1,336985207799,16258.000000000002,start
r2_1,336985207799,16262.800000000001,end
new,334984594770,19767.0,wait
r2_1,334984594770,19767.0,start
r2_1,334984594770,19781.399999999998,end
new,338087748646,26307.0,wait
r2_1,338087748646,26307.0,start
r2_1,338087748646,26311.8,end
new,338087748646,27298.0,wait
r2_1,338087748646,27298.0,start
r2_1,338087748646,27302.8,end
new,336423664598,35955.0,wait
r2_1,336423664598,35955.0,start
r2_1,336423664598,35955.0,end
new,336991872009,0.0,wait
r2_2,336991872009,0.0,start
r2_2,336991872009,4.8,end
new,336700331017,1249.0,wait
r2_2,336700331017,1249.0,start
r2_2,336700331017,1249.0,end
new,338505945349,2664.0,wait
r2_2,338505945349,2664.0,start
r2_2,338505945349,2683.2000000000007,end
new,338839491157,4269.0,wait
r2_2,338839491157,4269.0,start
r2_2,338839491157,4269.0,end
new,338196782289,7654.000000000001,wait
r2_2,338196782289,7654.000000000001,start
r2_2,338196782289,7654.000000000001,end
new,339396203121,13594.0,wait
r2_2,339396203121,13594.0,start
r2_2,339396203121,13608.399999999998,end
new,338835113756,17832.0,wait
r2_2,338835113756,17832.0,start
r2_2,338835113756,17879.999999999993,end
new,338721331150,21213.0,wait
r2_2,338721331150,21213.0,start
r2_2,338721331150,21213.0,end
new,338087748646,26691.0,wait
r2_2,338087748646,26691.0,start
r2_2,338087748646,26695.8,end
new,338087748646,27614.0,wait
r2_2,338087748646,27614.0,start
r2_2,338087748646,27618.8,end
new,339641674741,41664.0,wait
r2_2,339641674741,41664.0,start
r2_2,339641674741,41664.0,end
new,336991872081,0.0,wait
r2_3,336991872081,0.0,start
r2_3,336991872081,33.6,end
new,339749840250,2334.0,wait
r2_3,339749840250,2334.0,start
r2_3,339749840250,2338.8,end
new,338196782261,3163.0,wait
r2_3,338196782261,3163.0,start
r2_3,338196782261,3163.0,end
new,334591692090,6091.0,wait
r2_3,334591692090,6091.0,start
r2_3,334591692090,6119.800000000001,end
new,338835112479,9636.0,wait
r2_3,338835112479,9636.0,start
r2_3,338835112479,10115.999999999927,end
new,338946553910,15911.000000000002,wait
r2_3,338946553910,15911.000000000002,start
r2_3,338946553910,15963.799999999994,end
new,338415975993,19617.0,wait
r2_3,338415975993,19617.0,start
r2_3,338415975993,19617.0,end
new,338087748646,26074.0,wait
r2_3,338087748646,26074.0,start
r2_3,338087748646,26078.8,end
new,338087748646,27216.0,wait
