equipment_port,equipment_id,process_time,allocate_rule,equipment_status
j26_1,j26,4.8,,0
j27_1,j27,4.8,,1
j28_1,j28,4.8,,1
j29_1,j29,4.8,,0
j30_1,j30,4.8,,0
j31_1,j31,4.8,,0
j32_1,j32,4.8,,0
j33_1,j33,4.8,,1
j34_1,j34,4.8,,1
j35_1,j35,4.8,,0
j36_1,j36,4.8,,0
j37_1,j37,4.8,,1
j38_1,j38,4.8,,1
j39_1,j39,4.8,,0
j40_1,j40,4.8,,0
j41_1,j41,4.8,,1
h1_1,h1,15.0,,1
h2_1,h2,15.0,,1
h3_1,h3,15.0,,1
u1_1,u1,2.58,random,1
u1_2,u1,2.58,random,1
u1_3,u1,2.58,random,1
u1_4,u1,2.58,random,0
u1_5,u1,2.58,random,0
u1_6,u1,2.58,random,0
u1_7,u1,2.58,random,0
u2_1,u2,2.58,random,1
u2_2,u2,2.58,random,1
u2_3,u2,2.58,random,1
u2_4,u2,2.58,random,0
u2_5,u2,2.58,random,0
u2_6,u2,2.58,random,0
u2_7,u2,2.58,random,0
u3_1,u3,2.58,random,1
u3_2,u3,2.58,random,1
u3_3,u3,2.58,random,1
u3_4,u3,2.58,random,0
u3_5,u3,2.58,random,0
u3_6,u3,2.58,random,0
u3_7,u3,2.58,random,0
u4_1,u4,2.58,random,1
u4_2,u4,2.58,random,1
u4_3,u4,2.58,random,1
u4_4,u4,2.58,random,0
u4_5,u4,2.58,random,0
u4_6,u4,2.58,random,0
u4_7,u4,2.58,random,0
u5_1,u5,2.58,random,1
u5_2,u5,2.58,random,1
u5_3,u5,2.58,random,1
u5_4,u5,2.58,random,0
u5_5,u5,2.58,random,0
u5_6,u5,2.58,random,0
u5_7,u5,2.58,random,0
u6_1,u6,2.58,random,1
u6_2,u6,2.58,random,1
u6_3,u6,2.58,random,1
u6_4,u6,2.58,random,0
u6_5,u6,2.58,random,0
u6_6,u6,2.58,random,0
u6_7,u6,2.58,random,0
u7_1,u7,2.58,random,1
u7_2,u7,2.58,random,1
u7_3,u7,2.58,random,1
u7_4,u7,2.58,random,0
u7_5,u7,2.58,random,0
u7_6,u7,2.58,random,0
u7_7,u7,2.58,random,0
u8_1,u8,2.58,random,1
u8_2,u8,2.58,random,1
u8_3,u8,2.58,random,1
u8_4,u8,2.58,random,0
u8_5,u8,2.58,random,0
u8_6,u8,2.58,random,0
u8_7,u8,2.58,random,0
c1_1,c1,10.0,,1
c1_2,c1,10.0,,1
c1_3,c1,10.0,,1
c1_4,c1,10.0,,1
c1_5,c1,10.0,,1
c1_6,c1,10.0,,1
c1_7,c1,10.0,,1
c1_8,c1,10.0,,1
c1_9,c1,10.0,,1
c1_10,c1,10.0,,1
c1_11,c1,10.0,,1
c1_12,c1,10.0,,1
c1_13,c1,10.0,,1
c1_14,c1,10.0,,1
c1_15,c1,10.0,,1
c1_16,c1,10.0,,1
c1_17,c1,10.0,,1
c1_18,c1,10.0,,1
c1_19,c1,10.0,,1
c1_20,c1,10.0,,1
c1_21,c1,10.0,,1
c1_22,c1,10.0,,1
c1_23,c1,10.0,,1
c1_24,c1,10.0,,1
c1_25,c1,10.0,,1
c1_26,c1,10.0,,1
c1_27,c1,10.0,,1
c1_28,c1,10.0,,1
c1_29,c1,10.0,,1
c1_30,c1,10.0,,1
c1_31,c1,10.0,,1
c1_32,c1,10.0,,1
c1_33,c1,10.0,,1
c1_34,c1,10.0,,1
c1_35,c1,10.0,,1
c1_36,c1,10.0,,1
c1_37,c1,10.0,,1
c1_38,c1,10.0,,1
c1_39,c1,10.0,,1
c1_40,c1,10.0,,1
c1_41,c1,10.0,,1
c1_42,c1,10.0,,1
c1_43,c1,10.0,,1
c1_44,c1,10.0,,1
c1_45,c1,10.0,,1
c1_46,c1,10.0,,1
c1_47,c1,10.0,,1
c1_48,c1,10.0,,1
c1_49,c1,10.0,,1
c1_50,c1,10.0,,1
c2_1,c2,10.0,,0
c2_2,c2,10.0,,1
c2_3,c2,10.0,,1
c2_4,c2,10.0,,1
c2_5,c2,10.0,,1
c2_6,c2,10.0,,1
c2_7,c2,10.0,,1
c2_8,c2,10.0,,1
c2_9,c2,10.0,,1
c2_10,c2,10.0,,1
c2_11,c2,10.0,,1
c2_12,c2,10.0,,1
c2_13,c2,10.0,,1
c2_14,c2,10.0,,1
c2_15,c2,10.0,,1
c2_16,c2,10.0,,1
c2_17,c2,10.0,,1
c2_18,c2,10.0,,1
c2_19,c2,10.0,,1
c2_20,c2,10.0,,1
c2_21,c2,10.0,,1
c2_22,c2,10.0,,1
c2_23,c2,10.0,,1
c2_24,c2,10.0,,1
c2_25,c2,10.0,,0
c2_26,c2,10.0,,1
c2_27,c2,10.0,,1
c2_28,c2,10.0,,1
c2_29,c2,10.0,,1
c2_30,c2,10.0,,1
c2_31,c2,10.0,,1
c2_32,c2,10.0,,1
c2_33,c2,10.0,,1
c2_34,c2,10.0,,1
c2_35,c2,10.0,,1
c2_36,c2,10.0,,1
c2_37,c2,10.0,,1
c2_38,c2,10.0,,1
c2_39,c2,10.0,,1
c2_40,c2,10.0,,1
c2_41,c2,10.0,,1
c2_42,c2,10.0,,1
c2_43,c2,10.0,,1
c2_44,c2,10.0,,1
c2_45,c2,10.0,,1
c2_46,c2,10.0,,1
c2_47,c2,10.0,,1
c2_48,c2,10.0,,1
c2_49,c2,10.0,,0
c2_50,c2,10.0,,1
c3_1,c3,10.0,,1
c3_2,c3,10.0,,1
c3_3,c3,10.0,,1
c3_4,c3,10.0,,1
c3_5,c3,10.0,,1
c3_6,c3,10.0,,1
c3_7,c3,10.0,,1
c3_8,c3,10.0,,1
c3_9,c3,10.0,,1
c3_10,c3,10.0,,1
c3_11,c3,10.0,,1
c3_12,c3,10.0,,1
c3_13,c3,10.0,,1
c3_14,c3,10.0,,1
c3_15,c3,10.0,,1
c3_16,c3,10.0,,1
c3_17,c3,10.0,,1
c3_18,c3,10.0,,1
c3_19,c3,10.0,,1
c3_20,c3,10.0,,1
c3_21,c3,10.0,,1
c3_22,c3,10.0,,1
c3_23,c3,10.0,,1
