equipment_port,equipment_id,dest_code,dest_type,Unnamed: 4,Unnamed: 5
c12_1,c12,571FN,L,,
c12_2,c12,571FC,L,,
c12_3,c12,571SD,L,,
c12_4,c12,571GB,L,,
c12_5,c12,571G,L,,
c12_6,c12,571QA017,L,,
c12_7,c12,571FJ,L,,
c12_8,c12,571QA016,L,,
c12_9,c12,571LA,L,,
c12_10,c12,577,L,,
c12_11,c12,577,L,,
c12_12,c12,577,L,,
c12_13,c12,577,L,,
c12_14,c12,577H,L,,
c12_15,c12,577HE,L,,
c12_16,c12,577DL,L,,
c12_17,c12,577Q,L,,
c12_18,c12,577AG,L,,
c12_19,c12,577U,L,,
c12_20,c12,577AE,L,,
c12_21,c12,577CC,L,,
c12_22,c12,577DK,L,,
c12_23,c12,577HC,L,,
c12_24,c12,577HD,L,,
c12_25,c12,577HF,L,,
c12_26,c12,577M,L,,
c12_27,c12,577CB,L,,
c12_28,c12,577DA,L,,
c12_29,c12,577FG,L,,
c12_30,c12,577AF,L,,
c12_31,c12,577BA,L,,
c12_32,c12,577GA,L,,
c12_33,c12,577MA,L,,
c12_34,c12,577CA,L,,
c12_35,c12,577CS,L,,
c12_36,c12,577NC,L,,
c12_37,c12,577BD,L,,
c12_38,c12,577DM,L,,
c12_39,c12,577JD,L,,
c12_40,c12,577L,L,,
c12_41,c12,577UB,L,,
c12_42,c12,577GF,L,,
c12_43,c12,577AB,L,,
c12_44,c12,577AM,L,,
c12_45,c12,577CK,L,,
c12_46,c12,577FD,L,,
c12_47,c12,577DF,L,,
c12_48,c12,577JB,L,,
c12_49,c12,577LB,L,,
c12_50,c12,577CH,L,,
c12_51,c12,577CI,L,,
c12_52,c12,577LA,L,,
c12_53,c12,571JC,L,,
c12_54,c12,571AB,L,,
c12_55,c12,571QA007,L,,
c12_56,c12,571PBSM,L,,
c12_57,c12,571FR,L,,
c12_58,c12,571SH,L,,
c12_59,c12,571FS,L,,
c12_60,c12,571FX,L,,
c12_61,c12,571FA,L,,
c12_62,c12,571AA,L,,
c12_63,c12,571CS,L,,
c12_64,c12,571E,L,,
c12_65,c12,571PC,L,,
c12_66,c12,571B,L,,
c12_67,c12,571QD,L,,
c12_68,c12,571QE,L,,
c12_69,c12,571FM,L,,
c12_70,c12,571KB,L,,
c12_71,c12,571DA,L,,
c12_72,c12,571H,L,,
c12_73,c12,571TQ,L,,
c12_74,c12,571TF,L,,
c12_75,c12,571TP,L,,
c12_76,c12,571TC,L,,
c12_77,c12,571DB,L,,
c12_78,c12,571DC,L,,
c12_79,c12,571AD021-A,L,,
c12_80,c12,571MF,L,,
c12_81,c12,571PF,L,,
c12_82,c12,571AQ,L,,
c12_83,c12,571AC,L,,
c12_84,c12,571NC,L,,
c12_85,c12,571NA,L,,
c12_86,c12,571NE,L,,
c12_87,c12,571AE,L,,
c12_88,c12,571QF,L,,
c12_89,c12,571AG,L,,
c12_90,c12,571KN,L,,
c12_91,c12,571SF,L,,
c12_92,c12,571PD,L,,
c12_93,c12,571CD,L,,
c12_94,c12,571CS015-S,L,,
c12_95,c12,571KH,L,,
c12_96,c12,571TH,L,,
c12_97,c12,571FE,L,,
c12_98,c12,571KM,L,,
c12_99,c12,571FP,L,,
c12_100,c12,571LB,L,,
c12_101,c12,571FD,L,,
c12_102,c12,571PBWX,L,,
c12_103,c12,571CS019-S,L,,
c12_104,c12,571KL009-K,L,,
c13_1,c13,023,A,,
c13_2,c13,592,A,,
c13_3,c13,812H,A,,
c13_4,c13,592,A,,
c13_5,c13,812H,A,,
c13_6,c13,5940,A,,
c13_7,c13,028,A,,
c13_8,c13,5940,A,,
c13_9,c13,028,A,,
c13_10,c13,5950,A,,
c13_11,c13,028,A,,
c13_12,c13,,A,,
c13_13,c13,771,A,,
c13_14,c13,4310,A,,
c13_15,c13,7710,A,,
c13_16,c13,4310,A,,
c13_17,c13,7700,A,,
c13_18,c13,431H,A,,
c13_19,c13,772,A,,
c13_20,c13,027,A,,
c13_21,c13,7311,A,,
c13_22,c13,027,A,,
c13_23,c13,7311,A,,
c13_24,c13,武汉次日1,A,,
c13_25,c13,734,A,,
c13_26,c13,武汉次日2,A,,
c13_27,c13,730,A,,
c13_28,c13,武汉隔日,A,,
c14_1,c14,江门佛山,A,,
c14_2,c14,9910,A,,
c14_3,c14,020,A,,
c14_4,c14,9910,A,,
c14_5,c14,020,A,,
c14_6,c14,M991,A,,
c14_7,c14,769,A,,
c14_8,c14,9310,A,,
c14_9,c14,755,A,,
c14_10,c14,371,A,,
c14_11,c14,755,A,,
c14_12,c14,371,A,,
c14_13,c14,深圳混,A,,
c14_14,c14,郑州次日,A,,
c14_15,c14,SZH,A,,
c14_16,c14,郑州次日,A,,
c14_17,c14,CCTV,A,,
c14_18,c14,郑州隔日,A,,
c14_19,c14,香港台湾,A,,
c14_20,c14,郑州隔日,A,,
c14_21,c14,853国际,A,,
c14_22,c14,8180,A,,
c14_23,c14,753,A,,
c14_24,c14,023Q,A,,
c14_25,c14,663H,A,,
c14_26,c14,023Q,A,,
c14_27,c14,660,A,,
c14_28,c14,023,A,,
c115_1,c15,,A,,
c115_2,c15,,A,,
c115_3,c15,,A,,
c115_4,c15,,A,,
c115_5,c15,,A,,
c115_6,c15,,A,,
c115_7,c15,,A,,
c115_8,c15,,A,,
c115_9,c15,,A,,
c115_10,c15,,A,,
c115_11,c15,,A,,
c115_12,c15,,A,,
c115_13,c15,,A,,
c115_14,c15,,A,,
c115_15,c15,,A,,
c115_16,c15,,A,,
c115_17,c15,,A,,
c115_18,c15,,A,,
c115_19,c15,,A,,
c115_20,c15,,A,,
c115_21,c15,,A,,
c115_22,c15,,A,,
c115_23,c15,,A,,
c115_24,c15,,A,,
c115_25,c15,,A,,
c115_26,c15,,A,,
c115_27,c15,,A,,
c115_28,c15,,A,,
c16_1,c16,大连,A,,
c16_2,c16,351,A,,
c16_3,c16,HL,A,,
c16_4,c16,350Q,A,,
c16_5,c16,898,A,,
c16_6,c16,991Q,A,,
c16_7,c16,8981,A,,
c16_8,c16,901Q,A,,
c16_9,c16,930Q,A,,
c16_10,c16,971Q,A,,
c16_11,c16,931Q,A,,
c16_12,c16,951Q,A,,
c16_13,c16,451Q,A,,
c16_14,c16,911Q,A,,
c16_15,c16,4510,A,,
c16_16,c16,029Q,A,,
c16_17,c16,471Q,A,,
c16_18,c16,851Q,A,,
c16_19,c16,472Q,A,,
c16_20,c16,053Q,A,,
c16_21,c16,532Q,A,,
c16_22,c16,052Q,A,,
c16_23,c16,535Q,A,,
c16_24,c16,891Q,A,,
c16_25,c16,WFQ,A,,
c16_26,c16,433,A,,
c16_27,c16,530Q,A,,
c16_28,c16,773Q,A,,
c17_1,c17,350H,A,,
c17_2,c17,451Q,A,,
c17_3,c17,351,A,,
c17_4,c17,黑龙江区,A,,
c17_5,c17,311,A,,
c17_6,c17,411,A,,
c17_7,c17,311,A,,
c17_8,c17,411,A,,
c17_9,c17,022,A,,
c17_10,c17,411,A,,
c17_11,c17,天津,A,,
c17_12,c17,411,A,,
c17_13,c17,010Q,A,,
c17_14,c17,535,A,,
c17_15,c17,010,A,,
c17_16,c17,631,A,,
c17_17,c17,010,A,,
c17_18,c17,618山东隔日,A,,
c17_19,c17,010,A,,
c17_20,c17,531,A,,
c17_21,c17,010,A,,
c17_22,c17,山东次日,A,,
c17_23,c17,476,A,,
c17_24,c17,山东次日,A,,
c17_25,c17,356H,A,,
c17_26,c17,山东隔日,A,,
c17_27,c17,张家口,A,,
c17_28,c17,山东隔日,A,,
c18_1,c18,,A,,
c18_2,c18,024A,A,,
c18_3,c18,,A,,
c18_4,c18,C沈阳二级,A,,
c18_5,c18,,A,,
c18_6,c18,,A,,
c18_7,c18,沈阳次日,A,,
c18_8,c18,917,A,,
c18_9,c18,024,A,,
c18_10,c18,029,A,,
c18_11,c18,024,A,,
c18_12,c18,029,A,,
c18_13,c18,C沈阳二级,A,,
c18_14,c18,029,A,,
c18_15,c18,C沈阳二级,A,,
c18_16,c18,西安隔日,A,,
c18_17,c18,哈尔滨二级,A,,
c18_18,c18,,A,,
c18_19,c18,880,A,,
c18_20,c18,851,A,,
c18_21,c18,871,A,,
c18_22,c18,052,A,,
c18_23,c18,871,A,,
c18_24,c18,8510,A,,
c18_25,c18,昆明二级,A,,
c18_26,c18,时效挽救,A,,
c18_27,c18,昆明二级,A,,
c18_28,c18,高危快件,A,,
