equipment_port,equipment_id,dest_code,dest_type,Unnamed: 4,Unnamed: 5
c4_25,c4,C574Z,L,,
c5_1,c5,752,A,,
c5_2,c5,755,A,,
c5_3,c5,757,A,,
c5_4,c5,7580,A,,
c5_5,c5,754,A,,
c5_6,c5,663,A,,
c5_7,c5,769,A,,
c5_8,c5,471,A,,
c5_9,c5,951,A,,
c5_10,c5,9520,A,,
c5_11,c5,9940,A,,
c5_12,c5,9930,A,,
c5_13,c5,9900,A,,
c5_14,c5,871,A,,
c5_15,c5,872,A,,
c5_16,c5,8730,A,,
c5_17,c5,8740,A,,
c5_18,c5,931,A,,
c5_19,c5,9320,A,,
c5_20,c5,9710,A,,
c5_21,c5,9340,A,,
c5_22,c5,851,A,,
c5_23,c5,8580,A,,
c5_24,c5,8550,A,,
c5_25,c5,8540,A,,
c5_26,c5,052,A,,
c5_27,c5,029,A,,
c5_28,c5,9150,A,,
c5_29,c5,010,A,,
c5_30,c5,022,A,,
c5_31,c5,316,A,,
c5_32,c5,315,A,,
c5_33,c5,317,A,,
c5_34,c5,451,A,,
c5_35,c5,4540,A,,
c5_36,c5,024,A,,
c5_37,c5,4120,A,,
c5_38,c5,4270,A,,
c5_39,c5,431,A,,
c5_40,c5,4340,A,,
c5_41,c5,411,A,,
c5_42,c5,3510,A,,
c5_43,c5,3550,A,,
c5_44,c5,3530,A,,
c5_45,c5,3520,A,,
c5_46,c5,371,A,,
c5_47,c5,3950,A,,
c5_48,c5,3790,A,,
c5_49,c5,3730,A,,
c5_50,c5,377,A,,
c5_51,c5,311,A,,
c5_52,c5,312,A,,
c5_53,c5,8120,A,,
c5_54,c5,7510,A,,
c5_55,c5,756,A,,
c5_56,c5,760,A,,
c5_57,c5,6620,A,,
c5_58,c5,020,A,,
c5_59,c5,020WD,A,,
c5_60,c5,020W,A,,
c5_61,c5,020WE,A,,
c5_62,c5,898,A,,
c5_63,c5,8981,A,,
c5_64,c5,028,A,,
c5_65,c5,8300,A,,
