resource_id,resource_name,resource_limit,capacity_per_resource,resource_on_number,resource_number,inserted_on,modified_on
man_r2_2,r2人力2,2.0,1.0,2.0,2.0,,
man_r2_3,r2人力3,2.0,1.0,2.0,2.0,,
man_r2_4,r2人力4,2.0,1.0,2.0,2.0,,
man_r3_1,r3人力1,2.0,1.0,2.0,2.0,,
man_r3_10,r3人力10,2.0,1.0,2.0,2.0,,
man_r3_2,r3人力2,2.0,1.0,2.0,2.0,,
man_r3_3,r3人力3,2.0,1.0,2.0,2.0,,
man_r3_4,r3人力4,2.0,1.0,2.0,2.0,,
man_r3_5,r3人力5,2.0,1.0,2.0,2.0,,
man_r3_6,r3人力6,2.0,1.0,2.0,2.0,,
man_r3_7,r3人力7,2.0,1.0,2.0,2.0,,
man_r3_8,r3人力8,2.0,1.0,2.0,2.0,,
man_r3_9,r3人力9,2.0,1.0,2.0,2.0,,
man_r4_1,r4人力1,2.0,1.0,2.0,2.0,,
man_r4_10,r4人力10,2.0,1.0,2.0,2.0,,
man_r4_2,r4人力2,2.0,1.0,2.0,2.0,,
man_r4_3,r4人力3,2.0,1.0,2.0,2.0,,
man_r4_4,r4人力4,2.0,1.0,2.0,2.0,,
man_r4_5,r4人力5,2.0,1.0,2.0,2.0,,
man_r4_6,r4人力6,2.0,1.0,2.0,2.0,,
man_r4_7,r4人力7,2.0,1.0,2.0,2.0,,
man_r4_8,r4人力8,2.0,1.0,2.0,2.0,,
man_r4_9,r4人力9,2.0,1.0,2.0,2.0,,
man_r5_1,r5人力1,2.0,1.0,2.0,2.0,,
man_r5_2,r5人力2,2.0,1.0,2.0,2.0,,
man_r5_3,r5人力3,2.0,1.0,2.0,2.0,,
man_r5_4,r5人力4,2.0,1.0,2.0,2.0,,
man_u1_1,u1人力1,1.0,1.0,1.0,1.0,,
man_u1_2,u1人力2,1.0,1.0,1.0,1.0,,
man_u1_3,u1人力3,1.0,1.0,1.0,1.0,,
man_u1_4,u1人力4,0.0,1.0,0.0,1.0,,
man_u1_5,u1人力5,0.0,1.0,0.0,1.0,,
man_u1_6,u1人力6,0.0,1.0,0.0,1.0,,
man_u1_7,u1人力7,0.0,1.0,0.0,1.0,,
man_u2_1,u2人力1,1.0,1.0,1.0,1.0,,
