machine_id,package_id,time_stamp,action
r1_1,1474,0.0,wait
r1_1,1474,0.0,start
r1_1,1474,4.8,end
"('r1_1', 'm1_1')",1474,46.169999999999995,wait
r1_1,3098,0.0,wait
r1_1,3098,0.0,start
r1_1,3098,4.8,end
"('r1_1', 'm1_1')",3098,46.169999999999995,wait
r1_1,387640,1225.0,wait
r1_1,387640,1225.0,start
r1_1,387640,1229.8,end
"('r1_1', 'm1_1')",387640,1271.1699999999998,wait
r1_1,387017,4162.0,wait
r1_1,387017,4162.0,start
r1_1,387017,4166.8,end
"('r1_1', 'm1_1')",387017,4208.17,wait
r1_1,388467,4162.0,wait
r1_1,388467,4162.0,start
r1_1,388467,4166.8,end
"('r1_1', 'm1_1')",388467,4208.17,wait
r1_1,388468,4162.0,wait
r1_1,388468,4166.8,start
r1_1,388468,4171.6,end
"('r1_1', 'm1_1')",388468,4212.97,wait
r1_1,388469,4162.0,wait
r1_1,388469,4166.8,start
r1_1,388469,4171.6,end
"('r1_1', 'm1_1')",388469,4212.97,wait
r1_1,388470,4162.0,wait
r1_1,388470,4171.6,start
r1_1,388470,4176.400000000001,end
"('r1_1', 'm1_1')",388470,4217.77,wait
r1_1,388603,4162.0,wait
r1_1,388603,4171.6,start
r1_1,388603,4176.400000000001,end
"('r1_1', 'm1_1')",388603,4217.77,wait
r1_1,388697,4162.0,wait
r1_1,388697,4176.400000000001,start
r1_1,388697,4181.200000000001,end
"('r1_1', 'm1_1')",388697,4222.570000000001,wait
r1_1,388698,4162.0,wait
r1_1,388698,4176.400000000001,start
r1_1,388698,4181.200000000001,end
"('r1_1', 'm1_1')",388698,4222.570000000001,wait
r1_1,388699,4162.0,wait
r1_1,388699,4181.200000000001,start
r1_1,388699,4186.000000000001,end
"('r1_1', 'm1_1')",388699,4227.370000000001,wait
r1_1,388960,4162.0,wait
r1_1,388960,4181.200000000001,start
r1_1,388960,4186.000000000001,end
"('r1_1', 'm1_1')",388960,4227.370000000001,wait
r1_1,388961,4162.0,wait
r1_1,388961,4186.000000000001,start
r1_1,388961,4190.800000000001,end
"('r1_1', 'm1_1')",388961,4232.170000000001,wait
r1_1,388962,4162.0,wait
r1_1,388962,4186.000000000001,start
r1_1,388962,4190.800000000001,end
"('r1_1', 'm1_1')",388962,4232.170000000001,wait
r1_1,388963,4162.0,wait
r1_1,388963,4190.800000000001,start
r1_1,388963,4195.600000000001,end
"('r1_1', 'm1_1')",388963,4236.970000000001,wait
r1_1,388964,4162.0,wait
r1_1,388964,4190.800000000001,start
r1_1,388964,4195.600000000001,end
"('r1_1', 'm1_1')",388964,4236.970000000001,wait
r1_1,385234,13542.0,wait
r1_1,385234,13542.0,start
r1_1,385234,13546.8,end
"('r1_1', 'm1_1')",385234,13588.17,wait
r1_1,385237,13542.0,wait
r1_1,385237,13542.0,start
r1_1,385237,13546.8,end
"('r1_1', 'm1_1')",385237,13588.17,wait
r1_1,385238,13542.0,wait
r1_1,385238,13546.8,start
r1_1,385238,13551.599999999999,end
"('r1_1', 'm1_1')",385238,13592.97,wait
r1_1,385109,17767.0,wait
r1_1,385109,17767.0,start
r1_1,385109,17771.8,end
"('r1_1', 'm1_1')",385109,17813.17,wait
r1_1,385763,17767.0,wait
r1_1,385763,17767.0,start
r1_1,385763,17771.8,end
"('r1_1', 'm1_1')",385763,17813.17,wait
r1_1,385772,17767.0,wait
r1_1,385772,17771.8,start
r1_1,385772,17776.6,end
"('r1_1', 'm1_1')",385772,17817.969999999998,wait
r1_1,385992,17767.0,wait
r1_1,385992,17771.8,start
r1_1,385992,17776.6,end
"('r1_1', 'm1_1')",385992,17817.969999999998,wait
r1_1,385993,17767.0,wait
r1_1,385993,17776.6,start
r1_1,385993,17781.399999999998,end
"('r1_1', 'm1_1')",385993,17822.769999999997,wait
r1_1,385994,17767.0,wait
r1_1,385994,17776.6,start
r1_1,385994,17781.399999999998,end
"('r1_1', 'm1_1')",385994,17822.769999999997,wait
r1_1,386248,17767.0,wait
r1_1,386248,17781.399999999998,start
r1_1,386248,17786.199999999997,end
"('r1_1', 'm1_1')",386248,17827.569999999996,wait
r1_1,387773,17767.0,wait
r1_1,387773,17781.399999999998,start
r1_1,387773,17786.199999999997,end
"('r1_1', 'm1_1')",387773,17827.569999999996,wait
r1_1,387971,17767.0,wait
r1_1,387971,17786.199999999997,start
r1_1,387971,17790.999999999996,end
"('r1_1', 'm1_1')",387971,17832.369999999995,wait
r1_1,389001,17767.0,wait
r1_1,389001,17786.199999999997,start
r1_1,389001,17790.999999999996,end
"('r1_1', 'm1_1')",389001,17832.369999999995,wait
r1_1,389003,17767.0,wait
r1_1,389003,17790.999999999996,start
r1_1,389003,17795.799999999996,end
"('r1_1', 'm1_1')",389003,17837.169999999995,wait
r1_1,389004,17767.0,wait
r1_1,389004,17790.999999999996,start
r1_1,389004,17795.799999999996,end
"('r1_1', 'm1_1')",389004,17837.169999999995,wait
r1_1,389005,17767.0,wait
r1_1,389005,17795.799999999996,start
r1_1,389005,17800.599999999995,end
"('r1_1', 'm1_1')",389005,17841.969999999994,wait
r1_1,389006,17767.0,wait
r1_1,389006,17795.799999999996,start
r1_1,389006,17800.599999999995,end
"('r1_1', 'm1_1')",389006,17841.969999999994,wait
r1_1,389007,17767.0,wait
r1_1,389007,17800.599999999995,start
r1_1,389007,17805.399999999994,end
"('r1_1', 'm1_1')",389007,17846.769999999993,wait
r1_1,389008,17767.0,wait
r1_1,389008,17800.599999999995,start
r1_1,389008,17805.399999999994,end
"('r1_1', 'm1_1')",389008,17846.769999999993,wait
