equipment_id,equipment_port,resource_id,inserted_on,modified_on
r2,r2_3,man_r2_3,,
r2,r2_4,man_r2_4,,
r3,r3_1,man_r3_1,,
r3,r3_10,man_r3_10,,
r3,r3_2,man_r3_2,,
r3,r3_3,man_r3_3,,
r3,r3_4,man_r3_4,,
r3,r3_5,man_r3_5,,
r3,r3_6,man_r3_6,,
r3,r3_7,man_r3_7,,
r3,r3_8,man_r3_8,,
r3,r3_9,man_r3_9,,
r4,r4_1,man_r4_1,,
r4,r4_10,man_r4_10,,
r4,r4_2,man_r4_2,,
r4,r4_3,man_r4_3,,
r4,r4_4,man_r4_4,,
r4,r4_5,man_r4_5,,
r4,r4_6,man_r4_6,,
r4,r4_7,man_r4_7,,
r4,r4_8,man_r4_8,,
r4,r4_9,man_r4_9,,
r5,r5_1,man_r5_1,,
r5,r5_2,man_r5_2,,
r5,r5_3,man_r5_3,,
r5,r5_4,man_r5_4,,
u1,u1_1,man_u1_1,,
u1,u1_2,man_u1_2,,
u1,u1_3,man_u1_3,,
u1,u1_4,man_u1_4,,
u1,u1_5,man_u1_5,,
u1,u1_6,man_u1_6,,
u1,u1_7,man_u1_7,,
u2,u2_1,man_u2_1,,
u2,u2_2,man_u2_2,,
u2,u2_3,man_u2_3,,
u2,u2_4,man_u2_4,,
u2,u2_5,man_u2_5,,
u2,u2_6,man_u2_6,,
u2,u2_7,man_u2_7,,
u3,u3_1,man_u3_1,,
u3,u3_2,man_u3_2,,
u3,u3_3,man_u3_3,,
u3,u3_4,man_u3_4,,
u3,u3_5,man_u3_5,,
u3,u3_6,man_u3_6,,
u3,u3_7,man_u3_7,,
u4,u4_1,man_u4_1,,
u4,u4_2,man_u4_2,,
u4,u4_3,man_u4_3,,
u4,u4_4,man_u4_4,,
u4,u4_5,man_u4_5,,
u4,u4_6,man_u4_6,,
u4,u4_7,man_u4_7,,
u5,u5_1,man_u5_1,,
u5,u5_2,man_u5_2,,
u5,u5_3,man_u5_3,,
u5,u5_4,man_u5_4,,
u5,u5_5,man_u5_5,,
u5,u5_6,man_u5_6,,
u5,u5_7,man_u5_7,,
u6,u6_1,man_u6_1,,
u6,u6_2,man_u6_2,,
u6,u6_3,man_u6_3,,
u6,u6_4,man_u6_4,,
u6,u6_5,man_u6_5,,
u6,u6_6,man_u6_6,,
u6,u6_7,man_u6_7,,
u7,u7_1,man_u7_1,,
u7,u7_2,man_u7_2,,
u7,u7_3,man_u7_3,,
u7,u7_4,man_u7_4,,
u7,u7_5,man_u7_5,,
u7,u7_6,man_u7_6,,
u7,u7_7,man_u7_7,,
u8,u8_1,man_u8_1,,
u8,u8_2,man_u8_2,,
u8,u8_3,man_u8_3,,
u8,u8_4,man_u8_4,,
u8,u8_5,man_u8_5,,
u8,u8_6,man_u8_6,,
u8,u8_7,man_u8_7,,
