pipeline_id,package_id,time_stamp,action
"('r1_1', 'm1_1')",389412,17885.169999999987,end
"('r1_1', 'm1_1')",389413,17843.79999999999,start
"('r1_1', 'm1_1')",389413,17885.169999999987,end
"('r1_1', 'm1_1')",389414,17848.599999999988,start
"('r1_1', 'm1_1')",389414,17889.969999999987,end
"('r1_1', 'm1_1')",389415,17848.599999999988,start
"('r1_1', 'm1_1')",389415,17889.969999999987,end
"('r1_1', 'm1_1')",389416,17853.399999999987,start
"('r1_1', 'm1_1')",389416,17894.769999999986,end
"('r1_1', 'm1_1')",389417,17853.399999999987,start
"('r1_1', 'm1_1')",389417,17894.769999999986,end
"('r1_1', 'm1_1')",389418,17858.199999999986,start
"('r1_1', 'm1_1')",389418,17899.569999999985,end
"('r1_1', 'm1_1')",389419,17858.199999999986,start
"('r1_1', 'm1_1')",389419,17899.569999999985,end
"('r1_1', 'm1_1')",389420,17862.999999999985,start
"('r1_1', 'm1_1')",389420,17904.369999999984,end
"('r1_1', 'm1_1')",389421,17862.999999999985,start
"('r1_1', 'm1_1')",389421,17904.369999999984,end
"('r1_1', 'm1_1')",389422,17867.799999999985,start
"('r1_1', 'm1_1')",389422,17909.169999999984,end
"('r1_1', 'm1_1')",389423,17867.799999999985,start
"('r1_1', 'm1_1')",389423,17909.169999999984,end
"('r1_1', 'm1_1')",389424,17872.599999999984,start
"('r1_1', 'm1_1')",389424,17913.969999999983,end
"('r1_1', 'm1_1')",389425,17872.599999999984,start
"('r1_1', 'm1_1')",389425,17913.969999999983,end
"('r1_1', 'm1_1')",389426,17877.399999999983,start
"('r1_1', 'm1_1')",389426,17918.769999999982,end
"('r1_1', 'm1_1')",389427,17877.399999999983,start
"('r1_1', 'm1_1')",389427,17918.769999999982,end
"('r1_1', 'm1_1')",389428,17882.199999999983,start
"('r1_1', 'm1_1')",389428,17923.56999999998,end
"('r1_1', 'm1_1')",389429,17882.199999999983,start
"('r1_1', 'm1_1')",389429,17923.56999999998,end
"('r1_1', 'm1_1')",389430,17886.99999999998,start
"('r1_1', 'm1_1')",389430,17928.36999999998,end
"('r1_1', 'm1_1')",389431,17886.99999999998,start
"('r1_1', 'm1_1')",389431,17928.36999999998,end
"('r1_1', 'm1_1')",392544,17891.79999999998,start
"('r1_1', 'm1_1')",392544,17933.16999999998,end
"('r1_1', 'm1_1')",392545,17891.79999999998,start
"('r1_1', 'm1_1')",392545,17933.16999999998,end
"('r1_1', 'm1_1')",392546,17896.59999999998,start
"('r1_1', 'm1_1')",392546,17937.96999999998,end
"('r1_1', 'm1_1')",392547,17896.59999999998,start
"('r1_1', 'm1_1')",392547,17937.96999999998,end
"('r1_1', 'm1_1')",392550,17901.39999999998,start
"('r1_1', 'm1_1')",392550,17942.76999999998,end
"('r1_1', 'm1_1')",392551,17901.39999999998,start
"('r1_1', 'm1_1')",392551,17942.76999999998,end
"('r1_1', 'm1_1')",392552,17906.19999999998,start
"('r1_1', 'm1_1')",392552,17947.569999999978,end
"('r1_1', 'm1_1')",392553,17906.19999999998,start
"('r1_1', 'm1_1')",392553,17947.569999999978,end
"('r1_1', 'm1_1')",393320,17910.999999999978,start
"('r1_1', 'm1_1')",393320,17952.369999999977,end
"('r1_1', 'm1_1')",386545,21521.8,start
"('r1_1', 'm1_1')",386545,21563.17,end
"('r1_1', 'm1_1')",387965,26738.8,start
"('r1_1', 'm1_1')",387965,26780.17,end
"('r1_1', 'm1_1')",389623,27742.8,start
"('r1_1', 'm1_1')",389623,27784.17,end
"('r1_1', 'm1_1')",387206,47192.8,start
"('r1_1', 'm1_1')",387206,47234.170000000006,end
"('r1_1', 'm1_1')",387847,47192.8,start
"('r1_1', 'm1_1')",387847,47234.170000000006,end
"('r1_1', 'm1_1')",391305,47197.600000000006,start
"('r1_1', 'm1_1')",391305,47238.97000000001,end
"('r1_2', 'm1_1')",1835,304.8,start
"('r1_2', 'm1_1')",1835,346.17,end
"('r1_2', 'm1_1')",386367,304.8,start
"('r1_2', 'm1_1')",386367,346.17,end
"('r1_2', 'm1_1')",1911,7006.8,start
"('r1_2', 'm1_1')",1911,7048.17,end
"('r1_2', 'm1_1')",385229,7006.8,start
"('r1_2', 'm1_1')",385229,7048.17,end
"('r1_2', 'm1_1')",385835,7011.6,start
"('r1_2', 'm1_1')",385835,7052.97,end
"('r1_2', 'm1_1')",385836,7011.6,start
"('r1_2', 'm1_1')",385836,7052.97,end
"('r1_2', 'm1_1')",385837,7016.400000000001,start
"('r1_2', 'm1_1')",385837,7057.77,end
"('r1_2', 'm1_1')",386536,7016.400000000001,start
"('r1_2', 'm1_1')",386536,7057.77,end
"('r1_2', 'm1_1')",386537,7021.200000000001,start
"('r1_2', 'm1_1')",386537,7062.570000000001,end
"('r1_2', 'm1_1')",386538,7021.200000000001,start
"('r1_2', 'm1_1')",386538,7062.570000000001,end
"('r1_2', 'm1_1')",387782,7026.000000000001,start
"('r1_2', 'm1_1')",387782,7067.370000000001,end
"('r1_2', 'm1_1')",387783,7026.000000000001,start
"('r1_2', 'm1_1')",387783,7067.370000000001,end
"('r1_2', 'm1_1')",387784,7030.800000000001,start
"('r1_2', 'm1_1')",387784,7072.170000000001,end
"('r1_2', 'm1_1')",387785,7030.800000000001,start
"('r1_2', 'm1_1')",387785,7072.170000000001,end
"('r1_2', 'm1_1')",387786,7035.600000000001,start
"('r1_2', 'm1_1')",387786,7076.970000000001,end
"('r1_2', 'm1_1')",387787,7035.600000000001,start
"('r1_2', 'm1_1')",387787,7076.970000000001,end
"('r1_2', 'm1_1')",387789,7040.4000000000015,start
"('r1_2', 'm1_1')",387789,7081.770000000001,end
"('r1_2', 'm1_1')",387790,7040.4000000000015,start
"('r1_2', 'm1_1')",387790,7081.770000000001,end
"('r1_2', 'm1_1')",387791,7045.200000000002,start
"('r1_2', 'm1_1')",387791,7086.5700000000015,end
"('r1_2', 'm1_1')",387792,7045.200000000002,start
"('r1_2', 'm1_1')",387792,7086.5700000000015,end
"('r1_2', 'm1_1')",387793,7050.000000000002,start
"('r1_2', 'm1_1')",387793,7091.370000000002,end
"('r1_2', 'm1_1')",387794,7050.000000000002,start
"('r1_2', 'm1_1')",387794,7091.370000000002,end
"('r1_2', 'm1_1')",387795,7054.800000000002,start
"('r1_2', 'm1_1')",387795,7096.170000000002,end
"('r1_2', 'm1_1')",387796,7054.800000000002,start
"('r1_2', 'm1_1')",387796,7096.170000000002,end
"('r1_2', 'm1_1')",387797,7059.600000000002,start
"('r1_2', 'm1_1')",387797,7100.970000000002,end
"('r1_2', 'm1_1')",387798,7059.600000000002,start
"('r1_2', 'm1_1')",387798,7100.970000000002,end
"('r1_2', 'm1_1')",387799,7064.400000000002,start
"('r1_2', 'm1_1')",387799,7105.770000000002,end
"('r1_2', 'm1_1')",387800,7064.400000000002,start
