equipment_id,parcel_id,small_id,parcel_type,time_stamp,action,real_time_stamp,run_time
i17_1,100410,100410,parcel,18184.62500000001,start,2017-07-26 02:03:04.625,2017-08-29 10:01:50.972091
i17_1,100410,100410,parcel,18184.94500000001,end,2017-07-26 02:03:04.945,2017-08-29 10:01:50.972091
c16_16,100410,100410,parcel,18338.90500000001,wait,2017-07-26 02:05:38.905,2017-08-29 10:01:50.972091
r5_1,100458,100458,parcel,17597.0,wait,2017-07-26 01:53:17.000,2017-08-29 10:01:50.972091
r5_1,100458,100458,parcel,17643.950000000015,start,2017-07-26 01:54:03.950,2017-08-29 10:01:50.972091
r5_1,100458,100458,parcel,17647.080000000016,end,2017-07-26 01:54:07.080,2017-08-29 10:01:50.972091
m3_1,100458,100458,parcel,17704.990000000016,wait,2017-07-26 01:55:04.990,2017-08-29 10:01:50.972091
m3_1,100458,100458,parcel,17704.990000000016,start,2017-07-26 01:55:04.990,2017-08-29 10:01:50.972091
m3_1,100458,100458,parcel,17707.990000000016,end,2017-07-26 01:55:07.990,2017-08-29 10:01:50.972091
j19_1,100458,100458,parcel,18020.120000000017,wait,2017-07-26 02:00:20.120,2017-08-29 10:01:50.972091
j19_1,100458,100458,parcel,18020.120000000017,start,2017-07-26 02:00:20.120,2017-08-29 10:01:50.972091
j19_1,100458,100458,parcel,18024.885000000017,end,2017-07-26 02:00:24.885,2017-08-29 10:01:50.972091
i17_1,100458,100458,parcel,18197.145000000015,wait,2017-07-26 02:03:17.145,2017-08-29 10:01:50.972091
i17_1,100458,100458,parcel,18197.145000000015,start,2017-07-26 02:03:17.145,2017-08-29 10:01:50.972091
i17_1,100458,100458,parcel,18197.465000000015,end,2017-07-26 02:03:17.465,2017-08-29 10:01:50.972091
c16_16,100458,100458,parcel,18351.425000000014,wait,2017-07-26 02:05:51.425,2017-08-29 10:01:50.972091
r5_1,101403,101403,parcel,4113.0,wait,2017-07-25 22:08:33.000,2017-08-29 10:01:50.972091
r5_1,101403,101403,parcel,4113.0,start,2017-07-25 22:08:33.000,2017-08-29 10:01:50.972091
r5_1,101403,101403,parcel,4116.13,end,2017-07-25 22:08:36.130,2017-08-29 10:01:50.972091
m3_1,101403,101403,parcel,4174.04,wait,2017-07-25 22:09:34.040,2017-08-29 10:01:50.972091
