equipment_id,package_id,time_stamp,action
r1_4,165236,25206.0,wait
r1_4,165236,25206.0,start
r1_4,165236,25210.8,end
m1_3,165236,25252.17,wait
m1_3,165236,25252.17,start
m1_3,165236,25255.17,end
i2_3,165236,25296.539999999997,wait
m1_3,165236,25296.539999999997,start
m1_3,165236,25299.539999999997,end
i1_2,165236,25446.079999999998,wait
c1_31,165236,25587.01,wait
i1_2,165236,25587.01,wait
i1_2,165236,25587.01,start
i1_2,165236,25613.85,end
1,165236,25613.85,wait
r2_3,387327,0.0,wait
r2_3,387327,4.8,start
r2_3,387327,9.6,end
m1_4,387327,51.86,wait
m1_4,387327,51.86,start
m1_4,387327,54.86,end
i2_2,387327,97.12,wait
m1_4,387327,97.12,start
m1_4,387327,100.12,end
c2_1,387327,246.66,wait
i2_2,387327,246.66,wait
i2_2,387327,246.66,start
i2_2,387327,284.7,end
2,387327,284.7,wait
r2_3,394027,0.0,wait
r2_3,394027,28.8,start
r2_3,394027,33.6,end
m1_4,394027,75.86,wait
m1_4,394027,75.86,start
m1_4,394027,78.86,end
i2_2,394027,121.12,wait
m1_4,394027,121.12,start
m1_4,394027,124.12,end
c2_1,394027,270.65999999999997,wait
i2_2,394027,270.65999999999997,wait
i2_2,394027,270.65999999999997,start
i2_2,394027,308.7,end
2,394027,308.7,wait
r2_1,384392,0.0,wait
r2_1,384392,24.0,start
r2_1,384392,28.8,end
m1_2,384392,71.06,wait
m1_2,384392,71.06,start
m1_2,384392,74.06,end
i2_2,384392,116.32,wait
m1_2,384392,126.25999999999999,start
m1_2,384392,129.26,end
c2_1,384392,275.79999999999995,wait
i2_2,384392,275.79999999999995,wait
i2_2,384392,275.79999999999995,start
i2_2,384392,313.84,end
2,384392,313.84,wait
r2_1,384395,0.0,wait
r2_1,384395,28.8,start
r2_1,384395,33.6,end
m1_2,384395,75.86,wait
m1_2,384395,75.86,start
m1_2,384395,78.86,end
i2_2,384395,121.12,wait
m1_2,384395,132.26,start
m1_2,384395,135.26,end
c2_1,384395,281.79999999999995,wait
i2_2,384395,281.79999999999995,wait
i2_2,384395,281.79999999999995,start
i2_2,384395,319.84,end
2,384395,319.84,wait
r2_1,384404,0.0,wait
r2_1,384404,52.79999999999999,start
r2_1,384404,57.59999999999999,end
m1_2,384404,99.85999999999999,wait
m1_2,384404,105.25999999999999,start
m1_2,384404,108.25999999999999,end
i2_2,384404,150.51999999999998,wait
m1_2,384404,165.26,start
m1_2,384404,168.26,end
c2_1,384404,314.79999999999995,wait
i2_2,384404,314.79999999999995,wait
i2_2,384404,314.79999999999995,start
i2_2,384404,352.84,end
2,384404,352.84,wait
r3_8,384381,0.0,wait
r3_8,384381,0.0,start
r3_8,384381,4.8,end
m2_7,384381,62.709999999999994,wait
m2_7,384381,62.709999999999994,start
m2_7,384381,65.71,end
i2_1,384381,123.61999999999999,wait
m2_7,384381,123.61999999999999,start
m2_7,384381,126.61999999999999,end
c2_1,384381,344.38,wait
i2_1,384381,344.38,wait
i2_1,384381,344.38,start
i2_1,384381,382.42,end
2,384381,382.42,wait
r3_8,385284,0.0,wait
r3_8,385284,4.8,start
r3_8,385284,9.6,end
m2_7,385284,67.50999999999999,wait
m2_7,385284,68.71,start
m2_7,385284,71.71,end
i2_1,385284,129.62,wait
m2_7,385284,132.62,start
m2_7,385284,135.62,end
c2_1,385284,353.38,wait
i2_1,385284,353.38,wait
i2_1,385284,353.38,start
i2_1,385284,391.42,end
2,385284,391.42,wait
r3_8,387770,0.0,wait
r3_8,387770,33.6,start
r3_8,387770,38.4,end
m2_7,387770,96.31,wait
m2_7,387770,96.31,start
m2_7,387770,99.31,end
i2_1,387770,157.22,wait
m2_7,387770,168.62,start
m2_7,387770,171.62,end
c2_1,387770,389.38,wait
