queue_id,package_id,time_stamp,action
m2_i2,389036,3439.38,end
i2_c2,389036,3439.38,start
i2_c2,389036,3477.42,end
r5_m3,814,3787.8000000000006,start
r5_m3,814,3845.7100000000005,end
r5_m3,814,3848.7100000000005,start
r5_m3,814,3906.6200000000003,end
m3_x15,814,3909.6200000000003,start
m3_x15,814,3996.01,end
x15_i4,814,3996.01,start
x15_i4,814,4024.7900000000004,end
i4_i3,814,4024.7900000000004,start
i4_i3,814,4155.900000000001,end
i3_c2,814,4155.900000000001,start
i3_c2,814,4182.740000000001,end
r3_m2,384315,3908.400000000001,start
r3_m2,384315,3966.310000000001,end
r3_m2,384315,3969.310000000001,start
r3_m2,384315,4027.2200000000007,end
m2_i2,384315,4030.2200000000007,start
m2_i2,384315,4247.9800000000005,end
i2_c2,384315,4247.9800000000005,start
i2_c2,384315,4286.02,end
r3_m2,384318,3913.200000000001,start
r3_m2,384318,3971.110000000001,end
r3_m2,384318,3974.110000000001,start
r3_m2,384318,4032.020000000001,end
m2_i2,384318,4035.020000000001,start
m2_i2,384318,4252.780000000001,end
i2_c2,384318,4252.780000000001,start
i2_c2,384318,4290.820000000001,end
r3_m2,388343,3937.200000000002,start
r3_m2,388343,3995.110000000002,end
r3_m2,388343,3998.110000000002,start
r3_m2,388343,4056.020000000002,end
m2_i2,388343,4059.020000000002,start
m2_i2,388343,4276.780000000002,end
i2_c2,388343,4276.780000000002,start
i2_c2,388343,4314.8200000000015,end
r1_m1,388467,4166.8,start
r1_m1,388467,4208.17,end
r1_m1,388467,4211.17,start
r1_m1,388467,4252.54,end
m1_i2,388467,4255.54,start
m1_i2,388467,4402.08,end
i2_c2,388467,4402.08,start
i2_c2,388467,4440.12,end
r1_m1,388963,4195.600000000001,start
r1_m1,388963,4236.970000000001,end
r1_m1,388963,4239.970000000001,start
r1_m1,388963,4281.340000000001,end
m1_i2,388963,4284.340000000001,start
m1_i2,388963,4430.880000000001,end
i2_c2,388963,4430.880000000001,start
i2_c2,388963,4468.920000000001,end
r4_m2,655,4111.8,start
r4_m2,655,4169.71,end
r4_m2,655,4172.71,start
r4_m2,655,4230.62,end
m2_i2,655,4233.62,start
m2_i2,655,4451.38,end
i2_c2,655,4451.38,start
i2_c2,655,4489.42,end
r3_m2,393028,4298.400000000004,start
r3_m2,393028,4356.310000000004,end
r3_m2,393028,4371.62,start
r3_m2,393028,4429.53,end
m2_i2,393028,4432.53,start
m2_i2,393028,4650.29,end
i2_c2,393028,4650.29,start
i2_c2,393028,4688.33,end
r3_m2,386665,4485.8,start
r3_m2,386665,4543.71,end
r3_m2,386665,4546.71,start
r3_m2,386665,4604.62,end
m2_i2,386665,4607.62,start
m2_i2,386665,4825.38,end
i2_c2,386665,4825.38,start
i2_c2,386665,4863.42,end
r3_m2,282730,4784.8,start
r3_m2,282730,4842.71,end
r3_m2,282730,4845.71,start
r3_m2,282730,4903.62,end
m2_i2,282730,4906.62,start
m2_i2,282730,5124.38,end
i2_c2,282730,5124.38,start
i2_c2,282730,5162.42,end
r4_m2,390481,5161.000000000002,start
r4_m2,390481,5218.910000000002,end
r4_m2,390481,5221.910000000002,start
r4_m2,390481,5279.8200000000015,end
m2_i2,390481,5293.62,start
m2_i2,390481,5511.38,end
i2_c2,390481,5511.38,start
i2_c2,390481,5549.42,end
r4_m2,390490,5180.200000000003,start
r4_m2,390490,5238.110000000002,end
r4_m2,390490,5242.62,start
r4_m2,390490,5300.53,end
m2_i2,390490,5320.62,start
m2_i2,390490,5538.38,end
i2_c2,390490,5538.38,start
i2_c2,390490,5576.42,end
r4_m2,390501,5209.000000000004,start
r4_m2,390501,5266.9100000000035,end
r4_m2,390501,5278.62,start
r4_m2,390501,5336.53,end
m2_i2,390501,5359.62,start
m2_i2,390501,5577.38,end
i2_c2,390501,5577.38,start
i2_c2,390501,5615.42,end
r4_m2,390528,5252.200000000005,start
r4_m2,390528,5310.110000000005,end
r4_m2,390528,5329.62,start
r4_m2,390528,5387.53,end
m2_i2,390528,5419.62,start
m2_i2,390528,5637.38,end
i2_c2,390528,5637.38,start
i2_c2,390528,5675.42,end
r4_m2,390558,5285.800000000007,start
r4_m2,390558,5343.710000000006,end
r4_m2,390558,5368.62,start
r4_m2,390558,5426.53,end
m2_i2,390558,5464.62,start
m2_i2,390558,5682.38,end
i2_c2,390558,5682.38,start
i2_c2,390558,5720.42,end
r4_m2,391112,5329.000000000008,start
r4_m2,391112,5386.910000000008,end
r4_m2,391112,5416.62,start
r4_m2,391112,5474.53,end
m2_i2,391112,5521.62,start
m2_i2,391112,5739.38,end
i2_c2,391112,5739.38,start
i2_c2,391112,5777.42,end
r4_m2,391119,5343.400000000009,start
r4_m2,391119,5401.310000000009,end
r4_m2,391119,5434.62,start
r4_m2,391119,5492.53,end
m2_i2,391119,5542.62,start
m2_i2,391119,5760.38,end
i2_c2,391119,5760.38,start
i2_c2,391119,5798.42,end
r4_m2,391127,5362.6000000000095,start
r4_m2,391127,5420.510000000009,end
r4_m2,391127,5455.62,start
r4_m2,391127,5513.53,end
m2_i2,391127,5566.62,start
m2_i2,391127,5784.38,end
i2_c2,391127,5784.38,start
i2_c2,391127,5822.42,end
r4_m2,391240,5386.60000000001,start
r4_m2,391240,5444.51000000001,end
r4_m2,391240,5485.62,start
r4_m2,391240,5543.53,end
m2_i2,391240,5599.62,start
m2_i2,391240,5817.38,end
i2_c2,391240,5817.38,start
i2_c2,391240,5855.42,end
r4_m2,391321,5429.800000000012,start
r4_m2,391321,5487.710000000012,end
r4_m2,391321,5536.62,start
r4_m2,391321,5594.53,end
m2_i2,391321,5659.62,start
m2_i2,391321,5877.38,end
i2_c2,391321,5877.38,start
i2_c2,391321,5915.42,end
r4_m2,391329,5449.000000000013,start
r4_m2,391329,5506.910000000013,end
r4_m2,391329,5557.62,start
r4_m2,391329,5615.53,end
m2_i2,391329,5683.62,start
m2_i2,391329,5901.38,end
i2_c2,391329,5901.38,start
i2_c2,391329,5939.42,end
r4_m2,391348,5497.000000000015,start
r4_m2,391348,5554.910000000014,end
r4_m2,391348,5611.62,start
r4_m2,391348,5669.53,end
m2_i2,391348,5746.62,start
m2_i2,391348,5964.38,end
i2_c2,391348,5964.38,start
i2_c2,391348,6002.42,end
r4_m2,391418,5521.0000000000155,start
r4_m2,391418,5578.910000000015,end
r4_m2,391418,5641.62,start
r4_m2,391418,5699.53,end
m2_i2,391418,5782.62,start
m2_i2,391418,6000.38,end
i2_c2,391418,6000.38,start
i2_c2,391418,6038.42,end
r4_m2,391424,5535.400000000016,start
r4_m2,391424,5593.310000000016,end
r4_m2,391424,5656.62,start
r4_m2,391424,5714.53,end
m2_i2,391424,5800.62,start
m2_i2,391424,6018.38,end
i2_c2,391424,6018.38,start
i2_c2,391424,6056.42,end
r4_m2,391796,5607.400000000019,start
r4_m2,391796,5665.310000000019,end
r4_m2,391796,5740.62,start
r4_m2,391796,5798.53,end
m2_i2,391796,5866.62,start
m2_i2,391796,6084.38,end
i2_c2,391796,6084.38,start
i2_c2,391796,6122.42,end
r2_m1,392351,6115.000000000001,start
r2_m1,392351,6157.260000000001,end
r2_m1,392351,6160.260000000001,start
r2_m1,392351,6202.520000000001,end
m1_i2,392351,6205.520000000001,start
m1_i2,392351,6352.060000000001,end
i2_c2,392351,6352.060000000001,start
i2_c2,392351,6390.100000000001,end
r2_m1,1853,6095.8,start
r2_m1,1853,6138.06,end
r2_m1,1853,6141.06,start
r2_m1,1853,6183.320000000001,end
m1_i2,1853,6186.320000000001,start
m1_i2,1853,6332.860000000001,end
i2_e1,1853,6332.860000000001,start
i2_e1,1853,6808.860000000001,end
e1_h1,1853,6808.860000000001,start
e1_h1,1853,6857.490000000001,end
h1_x8,1853,6872.490000000001,start
h1_x8,1853,6948.410000000001,end
x8_x1,1853,6948.410000000001,start
x8_x1,1853,6998.710000000001,end
x1_i4,1853,6998.710000000001,start
x1_i4,1853,7025.270000000001,end
i4_i3,1853,7025.270000000001,start
i4_i3,1853,7156.380000000001,end
i3_c2,1853,7156.380000000001,start
i3_c2,1853,7183.220000000001,end
r1_m1,387807,7083.600000000003,start
r1_m1,387807,7124.970000000003,end
r1_m1,387807,7136.370000000002,start
r1_m1,387807,7177.740000000002,end
m1_i2,387807,7196.370000000002,start
m1_i2,387807,7342.910000000002,end
i2_c2,387807,7342.910000000002,start
i2_c2,387807,7380.950000000002,end
r1_m1,388334,7088.400000000003,start
r1_m1,388334,7129.770000000003,end
r1_m1,388334,7142.370000000002,start
r1_m1,388334,7183.740000000002,end
m1_i2,388334,7205.370000000002,start
m1_i2,388334,7351.910000000002,end
i2_c2,388334,7351.910000000002,start
i2_c2,388334,7389.950000000002,end
r1_m1,388848,7098.000000000004,start
r1_m1,388848,7139.3700000000035,end
r1_m1,388848,7154.370000000002,start
r1_m1,388848,7195.740000000002,end
m1_i2,388848,7217.370000000002,start
m1_i2,388848,7363.910000000002,end
i2_c2,388848,7363.910000000002,start
i2_c2,388848,7401.950000000002,end
r1_m1,388862,7131.600000000005,start
r1_m1,388862,7172.970000000005,end
r1_m1,388862,7193.370000000002,start
r1_m1,388862,7234.740000000002,end
m1_i2,388862,7259.370000000002,start
m1_i2,388862,7405.910000000002,end
i2_c2,388862,7405.910000000002,start
i2_c2,388862,7443.950000000002,end
r2_m1,384817,7140.000000000004,start
